 ,emotions
"আমার বইয়ের বিক্রি বাট্টার হাল দেখে বুঝতে পারি আমি তেমন যুইতের লেখক না। পাবলিশাররা তো আরো পঁচায়। বুঝতে পারি, 'Writing is not my piece of cake.’। তাও লিখে যাই নেশার মতো। ফেইসবুকে বিভিন্ন গ্রুপে দিয়ে দেই। দুই চারটা লাইক পাই, তাই নিয়ে খুশি হই।   

চারিদিকে আঁধারেরে মাঝে সুদূর ফ্লোরিডা থেকে এক চিলতে আলো এসে হাজির হলো আমাজনের প্যাকেট আর ফোনের টেক্সট মেসেজের মাধ্যমে। আমার সাথে বুয়েটে পড়ত সে। পড়া শেষে আমেরিকায় চলে এসেছে, প্রায় ত্রিশ বছর পরে ফেইসবুকে যোগাযোগ। বোঝা যায় ফেইসবুকে তেমন একটিভ না। আমার দ্বিতীয় বইটার বিজ্ঞাপনী পোস্টের নিচে কমেন্ট করে বইটা পড়ার আগ্রহ প্রকাশ করে সে। আমি ডাকে আমার দুইটা বই তাকে পাঠালাম। গত শনিবারে এক বাসায় দাওয়াত খেতে যাচ্ছি আমার নামে আমাজনের একটা ছোট প্যাকেট। খোলার সময় নেই, ওটা বাসায় রেখে বেড়াতে চললাম। নাফি বলল, মা, তুমি কি আমাজন থেকে কিছু অর্ডার দিয়েছ'? 
- মনে পড়ছে না। 
- ঠিক আছে এসে দেখব। 

বেড়িয়ে এসে দেখি আমার ক্লাসমেট টেক্সট করেছে, 
""Universityতে মোটামুটি ছোটো sizeএর ক্লাসে একসাথে পাঁচ  ছয় বছর পড়লেও কারো অসাধারণ এবং ব্যাতিক্রমধর্মী গুন সম্পর্কে কিছুই জানা যায় না তা তোমাকে দেখে বুঝলাম। 
আর একারনে তোমার প্রকাশিত বই পড়ার আগ্রহ ছিল খুব বেশি। আমেরিকা আসার পর আমার সঙ্গে আনা কয়েকটা উপন্যাস পড়তে চেষ্টা করেছিলাম বেশ কয়েকবার কিন্তু কোনদিন প্রথম কয়েক পৃষ্ঠার বেশি এগুতে পারিনি। তোমাকে খুশি করার জন্য বলছি না, তোমার প্রাপ্য হিসাবেই বলছি - তোমার লেখা অনেক সুন্দর, আর তার প্রমান হচ্ছে আমি দুই sitting এ তোমার ১২টা গল্প শেষ করতে পেরেছি। আর আমার বাংলা টাইপ করার অভ্যাস না থাকলেও তোমাকে  আরো উৎসাহিত করার জন্য অনেক কষ্ট করে, অনেক সময় দিয়ে এই একটুখানি লিখলাম, আর তোমার জন্য উপহার হিসাবে একটা কলম পাঠিয়েছি so that you can write more. Please keep up your good writing.""

এই লেখা এবং কলম পেয়ে আমার লেখার উৎসাহ বেড়ে গেছে। ধন্যবাদ বন্ধু। 

আমি বললাম, 'আমার ফ্রেন্ড তো লেখার জন্য কলম দিলো, কিন্তু আমি তো কম্পিউটারে টাইপ করে লিখি'। এটা শুনে আমার বর বলে, 'তুমি ওকে একটা কম্পিউটার পাঠাতে বল'।

এই হলো গিয়ে বাঙ্গালীর অবস্থা, বসতে দিলে শুতে চায়। তবে কলমটা দিয়ে আমি লেখা শুরু করেছি। যেমন উপন্যাস লেখার সময় চরিত্রগুলোর নাম, তাদের বয়স ও পাস্পরিক সম্পর্কগুলো ডাইরিতে টুকে রাখি-একাজে ব্যবহার করছি, আর বইয়ের অটোগ্রাফ দিতে ব্যবহার করব।  

আমার ফেইসবুকের মাধ্যমে পরিচিত বন্ধুরা এবং আরো অনেকে আমার বই কিনে পড়ে ফিডব্যাক দিয়েছেন, তাদের সবার প্রতি কৃতজ্ঞতা আর ভালবাসা।",Gratitude
"একলার কবিতা পড়ে যারা দোকলার কবিতা লিখতে বলেছে তাদের জন্য। কিন্তু কি জানি কেন শুধু বিষাদ এসে যায় শেষে। 

নিমন্ত্রণ

- এই মেয়ে, ঘুরতে যাবি? 
দূর আকাশের ঘন নীলে,
চল দুজনে যাই হারিয়ে। 

- কেমন করে যাবো উড়ে,
ডানা ছাড়া অতো দূরে! 

- শক্ত করে ধরে তোর হাত,
কল্পনার পাখায় করে ভর, 
উড়ে যাবো দেখিস তবে,
ভয় পাবি না, বুকে সাহস রাখতে হবে।
 
 - ভয় পেলে তোকে জড়িয়ে ধরে, 
বুকের ওমে চুপটি করে, 
শুনব তোর মনের কথা যত। 

- উড়ন্ত ওই মেঘের সাথে 
খেলব মোরা হেসে হেসে, 
ক্লান্ত হলে সাদা মেঘের,
পেতে রাখা নরম বিছানাতে, 
গড়িয়ে নিবো একটু না হয়! 

- তারপরে? 

- মেঘের মেয়ের কান্না হয়ে,
বৃষ্টির ফোঁটা ঝরে পড়ে। 
ভিজব মোরা ঠাণ্ডা জলে, 
হাসি আর খেলার ছলে। 

আমাদের হাসি দেখে, 
মেঘের মেয়ে কান্না ভুলে, 
খিখিলিয়ে উঠবে হেসে। 

- ঠাণ্ডা লেগে যাবে যে! 

- দূর বোকা! ঠাণ্ডা কোথায়! 
মেঘ ফুঁড়ে উড়ে যাবো, 
রোদে শরীর শুকিয়ে নিবো।

- তারপরে ফিরে আসব? 

- ফেরার এতো তাড়া কিসের? 
নাই বা হল ফিরে আসা। 
নাইবা থকল পিছু টান। 
অনেকেই তো যায়, কজনাই বা আসে ফিরে! 
আমরা না হয় দুজন মিলে, 
হারিয়ে যাবো লক্ষ কোটি তারার ভীড়ে। 
ছোট্ট দুটি তারা হয়ে মিটমিটিয়ে জ্বলব দূরে।

এই মেয়ে তুই যাবি? 
তোকে অনেক ভালবাসা দিয়ে, 
আগলে রাখব মনের ঘরে, যাবি? 

- যাবো, আমি যাবো। 
তোর অনন্ত প্রেমের সাথে, 
আকাশের ওই অসীম নীলে, 
তারকা জীবন যাপন করতে, 
যাবো, আমি যাবো।",REalization
"একলা 

একলা ছিলাম, একলা আছি,
একলা একলাই বাচিঁ। 

আকাশটা একলা আমার, 
সূর্যটাও তাই। 
জানালা খুলে আকাশ দেখি, 
চাঁদকে বলি হাই। 

নিশিরাতে জ্যোৎস্না এসে, 
জানালায় দেয় উঁকি। 
হেসে তাকে ধরতে গেলেই,
পালিয়ে দেয় ফাঁকি।

গাছের ডালে টুনটুনিটাও 
একলা আমার মত,
লেজ নাড়িয়ে গান শুনিয়ে 
যায় সে কতশত। 

একলা থাকা মন্দ নয় সে, 
মানিয়ে নিলেই বেশ তো। 
আর তো মাত্র কয়েকটা দিন,
তার পরেই শেষ তো!",Relief
"সবাইকে বাবা দিবসের শুভেচ্ছা।
 
১। বাংলাদেশের মেয়েরা কেমন বাবা আশা করে? জবাব নিচেঃ 

জাকিয়াকে জোরে কিছু বলা যায় না। বললেই গাল ফুলিয়ে বাপের বাড়ি দৌড় দেয়, সে এক বিব্রতকর অবস্থা। বিয়ের পরে বেশ কয়েকবার রাগ করে বাপের বাড়ি গিয়েছে। ওর দজ্জাল মা আসিফকে অনেক বাণী দিয়েছে। একবার তো ওর বাবাই বেঁকে বসল। তখন বড় মেয়ে শায়লার বয়স মাত্র এক বছর। মেয়েকে নিয়ে বাপের বাড়ি চলে গেলো। এবার আসিফ ভেবেছিল যত কষ্টই হোক আর আনতে যাবে না জাকিয়াকে, নিজে থেকে আসলে আসুক না আসলে নাই। এদিকে বাসা খালি খালি লাগে। মানসচক্ষে ছোট্ট মেয়েটাকে দেখতে পায় ঘরের সর্বত্র হামাগুড়ি দিয়ে বেড়াচ্ছে। আসিফ গোছল করতে গিয়ে দেখতে পায় ওর কাঁধে ছোট ছোট কামড়ের দাগ। মেয়েকে কোলে নিলে সে তার নতুন দাঁতের ধার পরীক্ষা করে বাবার কাঁধে কামড় দিয়ে। আসিফ মেয়েকে ছেড়ে আর থাকতে পারে না, ছুটে চলে যায় শ্বশুরবাড়িতে। শাশুড়ি কিছুক্ষণ কথা শুনিয়ে ভিতরে চলে গেলো চা নাস্তা আনতে। শায়লা এসে গুটিসুটি মেরে বাবার কোলে বসে গলা জড়িয়ে ধরে থাকল। জাকিয়ার বাবা এসে শুরু করলো বকাবকি, 'তুমি আমার মেয়ের সাথে কি করো যে কয়েকদিন পরপর সে রাগ করে চলে আসে? আমরা তিরিশ বছর ধরে সংসার করছি, কই আমার স্ত্রী তো একদিনও রাগ করে বাবার বাড়ি যায়নি'। 
- সরি বাবা আর হবে না। 
- এর আগেও তো অনেকবার সরি বলে নিয়ে গেছো, আবার ঝগড়া হয়েছে। 
-  ওর সংসারে মন নেই। সকালে অফিসে যাওয়ার সময় সে ঘুম থেকে উঠে না। আমি প্রায়ই নাস্তা না খেয়ে চলে যাই। 
- না খেয়ে কেন যাও। সকালে ঘুম থেকে তাড়াতাড়ি উঠে নিজের নাস্তা নিজে বানিয়ে খাবে। 
- আমি নাস্তা বানাবো কি করে, আমি কি নাস্তা বানাতে পারি? 
-  পারো না সেটা তোমার অযোগ্যতা। আর তোমাকে নাস্তা বানাতে শেখাননি তোমার মা, এটা তার দোষ। আমার মেয়ের কোন দোষ নেই এখানে। আমার আলসে মেয়ে আমার বাড়িতেই থাক তুমি তোমার মেয়েকে নিয়ে চলে যাও। 

আসিফ মনে মনে ভাবে, 'নাস্তা বানিয়ে খাব বলেই তো আমি বিয়ে করেছি। আর এতো টাকা আয় করি। এই বুড়োর আশকারা পেয়ে মেয়েটা মাথায় চড়ে নাচে। মেয়ে রাগ করে বাবার বাড়িতে আসলেই তাকে সঙ্গে সঙ্গে ফেরত পাঠিয়ে দেয়া উচিত। কোথায় মেয়েকে বলবে একটু সংসারে মনোযোগ দিতে তা না, উনি আসছে আমাকে সবক দিতে আর আমার মায়ের দোষ ধরতে। এই কারণেই শ্বশুরের কাছ থেকে অর্থনৈতিক সুবিধা নিতে হয় না'।  

আসিফের মনে হলো এবার মনে হয় বউ বাচ্চা ফিরে পেতে অনেক ঝামেলা হবে। আসলে এই বুড়োবুড়ি অনেক নিঃসঙ্গ। ছোট মেয়ে বিয়ে হয়ে চলে গেছে শ্বশুর বাড়ি। তাই তাদের বাসায় জাকিয়া আর শায়লা থাকলে ওদের অনেক ভালো লাগে।  

সে যাত্রা শায়লা সেই যে বাবার গলা ধরে ঝুলে থাকলো সেখান থেকে আর ওকে ছাড়ানো যায়নি। বাধ্য হয়ে জাকিয়া চলে এসেছে আসিফের সঙ্গে। আসিফও আর জাকিয়াকে ঘাটায় না। নাস্তা সমস্যার সমাধান করে ফেলেছে, পাউরুটি, ফ্রজেন পরোটা বা করনফ্লেক্স কিনে এনে রেখে দেয় আর কাজের মেয়েটা ডিম ভাজি বা পোঁচ করে আর চা বানিয়ে দেয়। মাঝে মাঝে কাজের লোক না থাকলে নিজেই কাজ চালিয়ে নিতে পারে। আসিফের মনে অবশ্য দুঃখ থেকে গেলো অফিসে যাওয়ার সময় স্ত্রীর সেবা পায় না বলে। সেই ছেলেবেলা থেকে বাংলা সিনেমায় দেখে আসছে। স্বামী অফিসে যাওয়ার আগে স্ত্রী নাস্তা টেবিলে রেডি করে খেতে ডাকে, খাওয়ার সময় গ্লাসে পানি ঢেলে দেয়, প্লেটে এটা ওটা তুলে দেয়। 'আর একটু নাও, আর একটু নাও' বলে জোর করে পাতে তুলে দেয় আলু ভাজি বা সুজির হালুয়া। সবশেষে রান্নাঘর থেক নিজের হাতে চা বানিয়ে নাড়তে নাড়তে সামনে এগিয়ে দেয়। আবার স্ত্রী গিয়ে শার্ট, প্যান্ট, জুতা, মোজা এগিয়ে দেয় রেডি হওয়ার জন্য। সেই শার্ট প্যান্ট আবার স্ত্রী নিজের হাতে ধুয়ে ইস্ত্রী করে রেখেছেন আগেই। একে একে চশমা, ঘড়ি, কলম, রুমাল ইত্যাদি এগিয়ে দিয়ে স্বামীকে রেডি করে ঘরের দরজা পর্যন্ত এগিয়ে দিয়ে সবার শেষে  দোয়া পড়ে বুকে ফুঁ দিয়ে বলে, 'ফি আমানিল্লাহ, সাবধানে যেও'। 

শুধু সিনেমায় কেন, নিজের ঘরেই তো ছোটকাল থেকে ঘরের যাবতীয় কাজ মাকেই করতে দেখেছে। বাবা শুধু হাত ধুয়ে খেয়ে প্লেটেই হাত ধুয়ে উঠে গেছে। আসিফ দীর্ঘশ্বাস ছেড়ে ভাবে, 'হায় কী দিনকাল এসে পড়ল, নারী স্বাধীনতার জোয়ারে নারী তার পরের জন্য বিলিয়ে দেয়া শাশ্বত কল্যাণী রুপটাই হারাতে বসেছে'।
 
(আমার অপ্রকাশিত উপন্যাস ইতিকথা থেকে)। 

২। বাংলাদেশের মেয়েরা কেমন বাবা পায়? উত্তর নিচেঃ 

নানাবাড়ি যাওয়ার কথায় আমরা দুই ভাইবোন সব সময় নাচতে থাকি। কিন্তু আজ আমরা মোটেই খুশি হলাম না।  আমরা রেডি হলাম। মা একটা চিঠি লিখে দরজার সাথে আটকে রেখে দরজায় তালা মেরে দিলো, আব্বার কাছে আর একটা চাবি আছে। আমাদের কাজের ছেলে ফয়সালকে আমাদের সঙ্গে নিয়ে বাসে করে নানাবাড়ি গেলাম।
নানি আমাদের দেখে খুশি হয়ে মাকে জিজ্ঞেস করল, 'জামাই আসে নাই? এ কি তোর মুখ এতো শুকনা কেন, শরীর খারাপ'?  
-না, মা ভালো আছি।
মা আর নানি ফিসফিস করে কথা বলে, কাঁদে আমি জানি তারা কি নিয়ে কথা বলে। নানা বাড়িতে এবার আর আগের মত মজা করে পুকুরে সাঁতার কাঁটা, মাছ ধরা, বা অন্যদের সাথে কুতকুত বা পুতুল খেলা কিছুতেই মন বসাতে পারলাম না। মায়ের মুখের দিকে তাকাতে পারি না। 
একদিন শুনলাম নানি বলছে মাকে, 'কি আর করবি দুই বাচ্চা নিয়া তোর আব্বায় কি তোরে বাড়ি জায়গা দেবে? ওই জামাইর কাছে তোর যাওয়া লাগবে।' 
- মা, আমি কিছুতেই আর তার কাছে ফেরত যাবো না। তোমাকে তো বললাম সে কেমন জালিম। তুমি মা হয়ে একটু বুঝবা না? 
- আমি তো বুঝি মা, কিন্তু তোর বাপটা যে আর এক জালিম। 
- আমাকে জোর করে ওই সংসার করতে পাঠালে কিন্তু আমি বাচ্চাদের বিষ খাইয়ে মেরে নিজে বিষ খাব।
- খবরদার অমন কথা মনেও আনবি না। 

দুইদিন পরে এক রাতে আমরা খেয়ে শুয়ে পড়েছি। টিনের ঘরে এক ঘর থেকে অন্য ঘরের কথা শোনা যায়। নানা নানি কথা বলছে, নানা জানতে চাইল, 
- তোমার মাইয়া বাচ্চাগো লইয়া একলা আসছে ক্যান?  
- জামাইয়ের লগে ঝগড়া হইছে। ও তো আর যাইতে চায় না। 
- যাইতে চায় না মানে? 
- জামাইর রাগ খুব বেশি। খারাপ ব্যবহার করে, মারে।
- জামাই বাজার ঘাট করে? খাওন-দাওন, কাপুড়-চুপুর, পোলাপানের লেহাপড়ার খরচ দেয়? 
- হয়, সবই দেয়। কিন্তু জামাইয়ের মনে হয় চরিত্রের দোষ আছে। আর গায়ে হাত তুলবে ক্যান? তুমি তো কোনদিন আমার গায়ে হাত তোল নাই! 
- তুমি কোন পুরুষলোক দেখছো যার চরিত্রের দোষ নাই? আর স্বামীরা স্ত্রীগো মারে, এইডা নতুন কিছু না। তোমার মাইয়া এইহানে পইরা থাকলে, জামাই আবার বিয়া করলে তোমার মাইয়া কাইন্দা দিশা পাইবে না। এতো বাহাসের দরকার নাই। আমার দায়িত্ব ছিল মাইয়ার বিয়া দেওন, দিছি। সংসার ঠিক মত করা তোমার মাইয়ার দায়িত্ব। আইছে দুইদিন থাহুক, আমি নিজে যাইয়া তারে ফেরত দিয়া আসমু। আমার আরো পোলা মাইয়া আছে, তাগো লেহাপড়া, বিয়া শাদি সব বাকি। তোমার মাইয়ার পোলাপানের দায়িত্ব আমি নিতে পারমু না।

মায়ের পাশে শুয়ে আমি টের পাই, নানার কথা শুনে সে ফুঁপিয়ে কাঁদছে। খুব  ভোরে মা আমাদের ঘুম ভাঙ্গিয়ে কাউকে কিছু না বলে বাস স্ট্যান্ডে চলে এলো। আসার পথে ফয়সালকে ওদের বাড়ি থেকে নিয়ে নিলো।

বাসের জন্য অপেক্ষা করার সময় আমরা একটা দোকানের সামনের বেঞ্চে বসলাম। মা আমদের গোল গোল রুটি আর কলা কিনে দিলো। আমি তীক্ষ্ণ চোখে মায়ের দিকে তাকিয়ে আছি। ব্যাগ খুলে রুটির ভিতর বিষ ঢুকিয়ে দেয় কি না আবার কে জানে ! আমার ভাই আর ফয়সাল রুটি নিয়ে খাওয়া শুরু করল। আমার দিকে মা রুটি বাড়িয়ে দিলে আমি আস্তে করে মাথা নেড়ে না করলাম। মা আমকে টেনে নিয়ে বুকে জড়িয়ে ধরে কপালে চুমু খেয়ে কানের কাছে মুখ নিয়ে ফিসফিস করে বলল, 'খাও, বিষ নাই। আমি কোনদিন তোমাদের বিষ খাওয়াব না। রাগ করে ওকথা বলছি।' 

ওইদিনের প্রথম বাসে করেই আমরা বাসায় চলে এলাম। আমি কলিং বেল দিলাম। আব্বা এসে দরজা খুলে মাকে উদ্দেশ্য করে বিদ্রূপাত্মক কণ্ঠে বলল, 'কি বাপের বাড়িতে দুইদিনের বেশি জায়গা হইলো না? এই নিয়া এতো তেজ?'     

মা কিছুই বলল না। সেই থেকে আমার মা মরার মত বেঁচে আছে। মা বছরখানেক নানা বাড়ি যায়নি। মামা-খালারা মায়ের প্রতি সহানুভূতিশীল, কিন্তু তাতে মায়ের কষ্ট বিন্দুমাত্র কমেনি। 

(আমার আপ্রকাশিত উপন্যাস আমার বান্ধবী রেশমা থেকে)",Remorse
অনেক আগে লিখেছিলাম।,Realization
বইমেলায থেকে প্রাপ্ত আরো কিছু ফটো।,Amusement
"দেখা হয় নাই চক্ষু মেলিয়া  

গতকাল (জুন ৬, ২০২২) বাসার কাছেই একটা পার্কে বেড়াতে গিয়েছিলাম (Whittier Narrows Recreational Area)। আমাদের বাসা থেকে ৫ মাইল দূরে, অথচ প্রায় সাত বছর ধরে এখানে আছি। তাই তো কবি বলিয়াছেন, ""দেখা হয় নাই চক্ষু মেলিয়া...।।"" 

সুন্দর গাছপালা আর সবুজ ঘাসের গালিচা পাতা রয়েছে ওখানে। অনেকখানি জায়গা জুড়ে স্ফটিক জলের আঁকাবাঁকা লেক। লেকের নাম লেগ লেক (Legg Lake)। লেকে রয়েছে একটা ফোয়ারা, বোটিংয়ের ব্যবস্থা আছে। আর আছে অজস্র রাজহাঁস, অল্প কিছু পাতিহাঁস, কিছু কাঠবেড়ালি। এরা সাবই নির্ভয়ে ঘুরে বেড়াচ্ছে, এটা ওটা খাচ্ছে। বসার ভালো ব্যবস্থা আছে। আমরা গাছের তলায় ঘাসে বসে রিমির বানানো চা, স্যান্ডউইচ আর নুডলস খেয়ে হেঁটে বেড়ালাম।  কিছু লোক দেখলাম বড়শি দিয়ে মাছ ধরছে। 

রাজহাঁসের কিছু ভিডিও করলাম, কয়েক হাজার হাঁস হবে। আমি কোনদিন এতো রাজহাঁস একসঙ্গে দেখিনি। এরা হোস্ট, আমরাই ওখানে গেস্ট হয়ে গিয়েছিলাম।  শীতের সময় গেলে গেস্টদের দেখা পাব বলে আশা করি।",caring
"- কাঠবেড়ালি কাঠবেড়ালি ফটো তুলবি?

- হ্যাঁ 

- পোজ দিয়ে দাঁড়া তবে। 
আহ এতো নড়লে কি ছবি হবে? 

- তুমি কেমন ছবিওয়ালা! 
এযুগে কেউ ফটো তোলে?
ওই যে তোমাদের ভিডু না কি আছে? 
ওটা করো, আর ঘোর আমার পিছে পিছে। 

- জী জনাব তাই হবে। 
ঘুরে বেড়ান লেজ উঁচিয়ে।",Grief
"বড় ছেলে আদর্শলিপি নিয়ে বসে পড়ে স্বরে অ, স্বরে আ, আর ছোট ছেলে টলমল পায়ে ঘরময় ছুটে বেড়ায়। বাবা ছেলেদের দিকে তাকিয়ে স্বপ্ন বোনেন, 'আমার এক ছেলেকে ডাক্তার আর এক ছেলেকে ইঞ্জিনিয়ার বানাব'।
কিন্তু কথায় আছে, 'Man proposes, God disposes’. বাবা তাঁর স্বপ্ন পূরণের জন্য আর বেঁচে থাকলেন না। বাবা মারা যাবার এক মাস নয় দিন পরে মায়ের কোল জুড়ে এলো এক কন্যা সন্তান। 

তিনটি শিশুসহ মা তাঁর বাবার বাড়িতে থাকেন। দুই বছর পরে তিনি পরিবার পরিকল্পনা বিভাগে চাকরি নেন। একজন কম বয়সি নারীর সেই একাকী চলার জীবন সংগ্রাম কেমন ছিল তা সহজেই অনুমান করা যায়, তবে অনুধাবন করতে পারবেন তারাই যারা ওই অবস্থার মধ্যে দিয়ে জীবনের কিছুটা সময় হলেও গেছেন।

আজ সেইসব কষ্টকর জীবনের গল্প না বরং সেই মায়ের জীবনের সফলতার একটু অংশ শেয়ার করব। হ্যাঁ, সেই মা তাঁর দুই ছেলেকে যথাক্রমে ইঞ্জিনিয়ার এবং ডাক্তার বানিয়ে তাঁর স্বামীর স্বপ্ন পূরণ করতে পেরেছেন। তিনি রত্নগর্ভা খেতাব পেয়েছেন।  

তাঁর ছোট ছেলে দীর্ঘ একত্রিশ বছর বাংলাদেশ সিভিল সার্ভিসের স্বাস্থ্য ক্যাডারে শিশু বিশেষজ্ঞ হিসাবে চাকরি করে অবসর নিয়েছেন। ঠাকুরগাঁওয়ে গরীবের ডাক্তার হিসাবে পরিচিত ডা. শাহাজাহান নেওয়াজ, আমার একমাত্র দেবর।  

সরকারি চাকরি থেকে অবসর নিলেও রোগীদের নিরলসভাবে সেবা দেয়ার কাজ আরো অন্তত একত্রিশ বছর সুস্থ শরীরে চালিয়ে যাও এই দোয়া করি গরীবের ডাক্তার।     

https://l.facebook.com/l.php?u=https%3A%2F%2Ffb.watch%2Fdr18LafxhK%2F%3Ffbclid%3DIwAR0VlqGZGBzxBagX6oUoraRGxg8jIjXJRDGi-IXke0lsCpzkYbAKIz_k9Jg&h=AT1xTqXaPUfwRYEOXMnOYkTsxKjf9ZepycMdP-4DejGLfffixJW2IXcbaHyAjgvxPDJWS8nlAothhjOTurhd35HY8iRauC_4L6FXrQDWU9Es-NdnJackqo_NCMQSHk47PjLY2C0j",Admiration
গত বছরের ফুল।,Pride
লেজের নাচন দেখবি যদি আয়।,Joy
